city,state,population,area,radius,gyms,per_100k,score
West Jordan,Utah,114908,32.3,5160.303082727306,0,0.0,-inf
Evansville,Indiana,115332,47.4,6251.196053298128,0,0.0,-inf
Elgin,Illinois,113310,38.0,5597.134551095286,0,0.0,-inf
Pompano Beach,Florida,113619,24.0,4448.151491863461,0,0.0,-inf
Corpus Christi,Texas,316595,162.2,11563.768101378095,0,0.0,-inf
Murrieta,California,111878,33.6,5263.1238226355645,0,0.0,-inf
Nampa,Idaho,114268,33.5,5255.2859570468,0,0.0,-inf
Lowell,Massachusetts,114296,13.6,3348.446798181914,0,0.0,-inf
Allen,Texas,111620,26.4,4665.260642667658,0,0.0,-inf
Tuscaloosa,Alabama,111338,61.9,7143.635278733866,0,0.0,-inf
Beaumont,Texas,112193,82.5,8247.09359108253,0,0.0,-inf
Lansing,Michigan,112115,39.1,5677.5677790522495,0,0.0,-inf
New Braunfels,Texas,110958,45.2,6104.4025662987515,0,0.0,-inf
South Fulton,Georgia,110920,85.2,8380.95958203554,0,0.0,-inf
Springfield,Illinois,112544,61.1,7097.322730374145,0,0.0,-inf
Greeley,Colorado,112609,48.9,6349.336999063803,0,0.0,-inf
Des Moines,Iowa,210381,88.2,8527.235189528563,0,0.0,-inf
McKinney,Texas,213509,67.0,7432.096674604455,0,0.0,-inf
Modesto,California,218915,43.0,5953.991038463147,0,0.0,-inf
Hialeah,Florida,221300,21.6,4219.887027529342,0,0.0,-inf
South Bend,Indiana,103395,42.0,5884.351320705834,0,0.0,-inf
Dearborn,Michigan,105811,24.2,4466.647004038771,0,0.0,-inf
St. Louis,Missouri,281754,61.7,7132.085335401539,0,0.0,-inf
Woodbridge,New Jersey,103194,23.3,4382.802587402524,0,0.0,-inf
Peoria,Illinois,110460,48.0,6290.636167283423,0,0.0,-inf
Tyler,Texas,110327,57.5,6885.062249892911,0,0.0,-inf
Sparks,Nevada,110323,36.4,5478.032956280337,0,0.0,-inf
Concord,North Carolina,110119,63.5,7235.371110630209,0,0.0,-inf
Santa Maria,California,109987,22.8,4335.521780574834,0,0.0,-inf
High Point,North Carolina,116926,56.4,6818.887114642152,0,0.0,-inf
Conroe,Texas,108248,72.0,7704.424383670815,0,0.0,-inf
Spokane Valley,Washington,108235,37.7,5574.996819450443,0,0.0,-inf
Renton,Washington,104491,23.5,4401.572705779567,0,0.0,-inf
Lee's Summit,Missouri,104184,63.9,7258.123906133389,0,0.0,-inf
Miami,Florida,455924,36.0,5447.85072683262,0,0.0,-inf
Edinburg,Texas,105799,44.7,6070.545385806065,0,0.0,-inf
Davenport,Iowa,100354,63.8,7252.442399269663,0,0.0,-inf
Rio Rancho,New Mexico,110660,103.4,9232.816799371689,0,0.0,-inf
Charlotte,North Carolina,911311,308.3,15942.657319064692,0,0.0,-inf
Sugar Land,Texas,108515,40.5,5778.318287753111,0,0.0,-inf
Visalia,California,144998,37.9,5589.765048819489,0,0.0,-inf
Waco,Texas,144816,88.7,8551.371199277792,0,0.0,-inf
Columbia,South Carolina,142416,136.8,10619.816131131118,0,0.0,-inf
Lakewood,New Jersey,139866,24.7,4512.55414028375,0,0.0,-inf
Rockford,Illinois,146120,64.5,7292.119988669219,0,0.0,-inf
Brockton,Massachusetts,104890,21.3,4190.47979101777,0,0.0,-inf
Anchorage,Alaska,286075,,,0,0.0,-inf
New Bedford,Massachusetts,100695,20.0,4060.588185489792,0,0.0,-inf
Wichita Falls,Texas,102691,72.0,7704.424383670815,0,0.0,-inf
Vacaville,California,102526,29.9,4964.888995350069,0,0.0,-inf
Carmel,Indiana,102296,49.1,6362.308078975894,0,0.0,-inf
Palm Coast,Florida,102113,95.4,8868.458461643962,0,0.0,-inf
Quincy,Massachusetts,101597,16.6,3699.371895616282,0,0.0,-inf
North Las Vegas,Nevada,284771,101.3,9138.579021242058,0,0.0,-inf
Lynn,Massachusetts,101241,10.7,2970.064204776475,0,0.0,-inf
Yuma,Arizona,100858,120.7,9975.337169602868,0,0.0,-inf
Stamford,Connecticut,136226,37.6,5567.598014837444,0,0.0,-inf
Joliet,Illinois,150489,64.5,7292.119988669219,0,0.0,-inf
Alexandria,Virginia,155230,14.9,3504.8310126229717,0,0.0,-inf
Hollywood,Florida,153859,27.3,4744.115702907141,0,0.0,-inf
Springfield,Massachusetts,153672,31.9,5128.2512006884135,0,0.0,-inf
Cary,North Carolina,180010,59.2,6986.100069418722,0,0.0,-inf
Elk Grove,California,178444,42.0,5884.351320705834,0,0.0,-inf
