RegionID,size,city,state,zhvi,score
13256,365,Perris,CA,375552.0,-0.33530369773586644
11867,83,Henderson,NV,376254.0,-0.33799793591179683
48215,67,Vancouver,WA,378706.0,-0.3473692951329574
30381,165,Beaverton,OR,382219.0,-0.36069051256574064
5399,253,Kent,WA,384296.0,-0.36850897648002884
26857,215,Round Rock,TX,386303.0,-0.37602389797365426
40298,190,Peoria,AZ,388044.0,-0.3825112642281091
31567,488,Flagstaff,AZ,392953.0,-0.4006477826171593
5519,208,Lakewood,CO,393715.0,-0.40344269474014083
11914,354,Hillsboro,OR,397496.0,-0.41723135913728965
13478,86,Reno,NV,397609.0,-0.4176414296077761
37211,40,Atlanta,GA,402773.0,-0.4362579916223384
4655,193,Fairfax,VA,403066.0,-0.4373071085442252
17384,88,Chandler,AZ,403731.0,-0.43968538317701694
25981,142,Moreno Valley,CA,406648.0,-0.45007153486630813
27362,136,Tacoma,WA,406925.0,-0.45105393359824275
16839,441,Auburn,WA,407920.0,-0.45457725957839823
48443,254,West Valley City,UT,408516.0,-0.4566836007909565
20793,258,Thornton,CO,411423.0,-0.46691346436900927
33645,399,Rialto,CA,412953.0,-0.47226860800971554
46325,455,Loveland,CO,416516.0,-0.4846629326838501
12700,39,Miami,FL,419418.0,-0.49467979484721253
31606,168,Fort Lauderdale,FL,420321.0,-0.49778255445243885
51518,261,Concord,CA,420390.0,-0.49801936819234444
34781,305,Westminster,CO,420455.0,-0.4982424180477746
39558,467,Lynn,MA,423296.0,-0.5079578722535912
7330,273,Surprise,AZ,423907.0,-0.5100388063928963
18208,231,Frisco,TX,424651.0,-0.5125686638345087
3737,105,Boise,ID,425083.0,-0.5140355800962086
40355,495,Pittsburg,CA,425210.0,-0.5144665427680296
4888,113,Gilbert,AZ,425268.0,-0.5146633175523303
47570,242,Santa Maria,CA,425772.0,-0.5163720936042508
8814,479,Queen Creek,AZ,425823.0,-0.516544892756837
4764,154,Fort Collins,CO,428949.0,-0.5270971448280332
20288,30,Sacramento,CA,429049.0,-0.5274334381637803
46508,402,Meridian,ID,429980.0,-0.5305605726585365
45878,434,Indio,CA,430738.0,-0.5331016212335696
27239,278,Stamford,CT,431645.0,-0.536136293495341
6932,416,Sandy,UT,436494.0,-0.5522528393580391
10071,210,Alexandria,VA,438720.0,-0.5595914927290646
16818,439,Ashburn,VA,439887.0,-0.5634239823468636
41641,351,West Jordan,UT,441492.0,-0.5686783124366871
45417,496,Georgetown,TX,442664.0,-0.5725030663901733
18053,367,Fairfield,CA,446026.0,-0.5834188274918699
53359,463,Missoula,MT,449609.0,-0.5949619313406265
41446,377,Vacaville,CA,449910.0,-0.5959274500756742
24741,117,Fontana,CA,451163.0,-0.5999397732756766
45339,387,Franklin,TN,451264.0,-0.6002627073185148
40760,282,Santa Fe,NM,454408.0,-0.6102792506788771
6103,290,Murrieta,CA,459598.0,-0.6266635364233495
4626,370,Everett,WA,459865.0,-0.6275014158959215
13480,240,Renton,WA,462169.0,-0.6347115107354885
44515,362,Centennial,CO,462314.0,-0.635164068073253
17950,189,Elk Grove,CA,466571.0,-0.6483876550335808
40492,177,Rancho Cucamonga,CA,468727.0,-0.655038917021768
34520,295,Vallejo,CA,473698.0,-0.6702585972297134
7453,330,Tracy,CA,480219.0,-0.6899835018325149
38333,186,El Cajon,CA,481443.0,-0.6936560181295489
47401,58,Riverside,CA,483546.0,-0.6999441571117668
44583,489,Chino,CA,484793.0,-0.7036598841670099
20008,212,Pomona,CA,486291.0,-0.7081109077355331
13108,169,Ontario,CA,490177.0,-0.719593808406187
13373,28,Portland,OR,490426.0,-0.7203264822260758
54311,116,Santa Clarita,CA,492921.0,-0.7276474622081354
13594,272,Roseville,CA,493308.0,-0.7287797002775512
6909,150,Salt Lake City,UT,493750.0,-0.7300717646763912
10181,313,Arvada,CO,495072.0,-0.7339293729828499
54346,103,Scottsdale,AZ,496486.0,-0.738044053456685
24174,249,Compton,CA,512134.0,-0.7828123576659878
7386,291,Temecula,CA,516139.0,-0.7940506627787131
24225,134,Corona,CA,516395.0,-0.7947660483021637
11093,23,Denver,CO,519760.0,-0.8041366267962539
50950,320,Bellingham,WA,532068.0,-0.8379016550707856
14542,334,West Covina,CA,535807.0,-0.8480044457559485
6285,135,Oceanside,CA,539605.0,-0.8581947329133119
3761,485,Bothell,WA,543252.0,-0.8679125972445864
27110,277,Simi Valley,CA,545100.0,-0.8728119367924732
34937,139,Yonkers,NY,546128.0,-0.8755301422284929
11337,166,Escondido,CA,546214.0,-0.8757573087638321
47762,419,South Gate,CA,547463.0,-0.8790524807194147
34278,270,Thousand Oaks,CA,550602.0,-0.8873008668701786
